custnmbr,addrcode,custname,address1,address2,address3,ccode,city,country,state,zip
3B9C799,FE68C09,OCZCC 971                                                        ,CONDOMINIUM MGT GROUP                                        ,434 QUEEN ST                                                 ,                                                             ,CA     ,OTTAWA                             ,Canada                                                       ,ONTARIO                      ,K1R 7V7    
DC1857C,3E6359D,ZOCUATA QUABACOUZA DES UMFTEZTTUCTUTAZ                           ,CDEVQ DE SAINT-HYACINTHE                                     ,3220 RUE SICOTTE                                             ,                                                             ,CA     ,SAINT-HYACINTHE                    ,Canada                                                       ,QC                           ,J2S 2M2    
4EF3A4B,DCFC9B3,MEPXEM-HETTUZ PROPERTY NGNT INC                                  ,500 CHAMPAGNE DR                                             ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M3J 2T9    
89C9E38,FB25BFD,NUPTOWM-YOMGA PROPERTIES LP                                      ,C/O COLLIERS INTERNATIONAL (REMS)                            ,NXS# V0021346 - e6026                                        ,181 BAY STREET - SUITE 1400                                  ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5J 2V1    
30EEBAF,D40B48E,KAXZOM MECHANICAL INC                                            ,1550 SANDHURST CIRCLE                                        ,ALBERT CAMPBELL C. I                                         ,                                                             ,CA     ,SCARBOROUGH                        ,CA                                                           ,ON                           ,M1V 1S6    
30EEBAF,FB25BFD,KAXZOM MECHANICAL INC                                            ,436 WELLINGTON ST W                                          ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M5V 1E3    
2BCB4AD,DCFC9B3,NTCC 710                                                         ,C/O GOLDVIEW PROPERTY MGMT LTD                               ,51 TORO RD SUITE 200                                         ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M3J 2A4    
E52D52F,594483F,ZOCUATA QUABACOUZA DES UMFTEZTTUCTUTAZ                           ,MINISTERE DE LA JUSTICE                                      ,450 RUE ST-LOUIS                                             ,                                                             ,CA     ,JOLIETTE                           ,Canada                                                       ,QUEBEC                       ,J6E 2Y8    
E52D52F,9414E90,ZOCUATA QUABACOUZA DES UMFTEZTTUCTUTAZ                           ,DI NORD DE MONTREAL - SATELITES                              ,1041 BOUL DES LAURENTIDES 201                                ,                                                             ,CA     ,LAVAL                              ,Canada                                                       ,QUEBEC                       ,H7G 2W2    
AF1A628,0F6BBD3,BAAX DISTRICT SCHOOL BOETP                                       ,PTE BUCHAM SINGH PS                                          ,FOR THE HWH                                                  ,100 MARTIN BYRNE DRIVE                                       ,CA     ,BRAMPTON                           ,Canada                                                       ,ON                           ,L6P 4C7    
AF1A628,B89D105,BAAX DISTRICT SCHOOL BOETP                                       ,EARNSCLIFFE SENIOR                                           ,50 EARNSCLIFFE CIRCLE                                        ,                                                             ,CA     ,BRAMPTON                           ,Canada                                                       ,ONTARIO                      ,L6T 2Y9    
AF1A628,EC45059,BAAX DISTRICT SCHOOL BOETP                                       ,STREETSVILLE SECONDARY                                       ,72 JOYMAR DR.                                                ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ONTARIO                      ,L5M 1G3    
BEC27F2,6F5FA7B,210 GTEHEN LTD                                                   ,C/O GWL REALTY ADVISORS                                      ,60 OSBORNE STREET NORTH (LLBN)                               ,                                                             ,CA     ,WINNIPEG                           ,Canada                                                       ,MANITOBA                     ,R3C 1V3    
2FEB79A,CC5A548,TOBATTE PLACE TATUTANAMT XOPGA INC                               ,489 ESSA ROAD                                                ,                                                             ,                                                             ,CA     ,BARRIE                             ,Canada                                                       ,ONTARIO                      ,L4N 9E4    
